                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.4301,                 1.5331,                 1.8751,                0.66976,                0.66226,                0.70198,                0.35976,                 1.5967,                 1.4699,                 2.0581,              0.0067471,              0.0067471,              0.0067471
                     48,                 1.4568,                 1.5615,                 1.8968,                0.55034,                0.63995,                0.65025,                 0.3211,                 1.6068,                 1.6541,                 2.0954,              0.0066764,              0.0066764,              0.0066764
                     49,                 1.4373,                 1.5389,                 1.8818,                0.56531,                0.64409,                0.66335,                0.34218,                 1.6157,                 1.5452,                 2.0777,              0.0066057,              0.0066057,              0.0066057
                     50,                 1.4289,                   1.53,                 1.9002,                 0.5926,                0.69646,                0.70725,                0.36465,                 1.5807,                 1.4822,                 2.0351,               0.006535,               0.006535,               0.006535
                     51,                 1.4306,                 1.5286,                 1.8718,                0.61585,                0.60442,                0.66265,                0.32416,                 1.6477,                 1.6086,                 2.0655,              0.0064643,              0.0064643,              0.0064643
                     52,                  1.421,                 1.5166,                 1.8625,                0.62322,                0.63144,                  0.677,                0.34527,                 1.6061,                 1.5121,                 2.0718,              0.0063936,              0.0063936,              0.0063936
                     53,                 1.4404,                 1.5051,                 1.8735,                0.65324,                0.61627,                0.66276,                0.33705,                  1.645,                 1.5711,                 2.1524,              0.0063229,              0.0063229,              0.0063229
                     54,                 1.4016,                 1.4683,                  1.851,                0.63912,                0.65343,                0.70199,                0.37238,                 1.5568,                 1.4911,                 2.0719,              0.0062521,              0.0062521,              0.0062521
                     55,                 1.4124,                 1.4762,                 1.8512,                0.61782,                0.68233,                0.69395,                0.36178,                 1.5645,                 1.4616,                 2.0442,              0.0061814,              0.0061814,              0.0061814
                     56,                 1.4028,                  1.473,                 1.8523,                0.65528,                0.64365,                0.69152,                0.35806,                 1.5924,                 1.4635,                 2.0547,              0.0061107,              0.0061107,              0.0061107
                     57,                 1.4083,                 1.4787,                 1.8685,                0.66764,                0.62268,                0.67246,                0.33205,                  1.685,                 1.5242,                 2.1314,                0.00604,                0.00604,                0.00604
                     58,                  1.386,                  1.434,                 1.8494,                0.67791,                0.68836,                0.72403,                0.37717,                 1.5804,                 1.4345,                 2.0496,              0.0059693,              0.0059693,              0.0059693
                     59,                 1.3972,                 1.4707,                 1.8479,                0.67846,                0.61483,                0.71023,                0.38189,                 1.5478,                 1.3956,                 2.0043,              0.0058986,              0.0058986,              0.0058986
                     60,                  1.382,                 1.4489,                 1.8356,                0.69874,                 0.6385,                0.71331,                 0.3702,                 1.5849,                 1.4303,                 2.0257,              0.0058279,              0.0058279,              0.0058279
                     61,                 1.3899,                 1.4606,                 1.8384,                0.65603,                0.68781,                 0.7186,                0.38401,                 1.5392,                 1.4029,                 2.0273,              0.0057571,              0.0057571,              0.0057571
                     62,                 1.3899,                 1.4685,                 1.8515,                0.65208,                0.67255,                0.72663,                0.38872,                 1.5494,                 1.4313,                 2.0295,              0.0056864,              0.0056864,              0.0056864
                     63,                 1.3779,                 1.4377,                  1.827,                0.66445,                0.66635,                0.70968,                0.37227,                 1.5769,                 1.4411,                 2.0141,              0.0056157,              0.0056157,              0.0056157
                     64,                 1.3709,                 1.4514,                 1.8267,                 0.6693,                 0.6568,                 0.7062,                0.37038,                 1.5993,                 1.4878,                  2.084,               0.005545,               0.005545,               0.005545
                     65,                 1.3732,                 1.4298,                 1.8277,                 0.6562,                 0.6761,                0.72768,                0.38218,                 1.6081,                 1.4198,                 2.0583,              0.0054743,              0.0054743,              0.0054743
                     66,                 1.3872,                 1.4428,                 1.8349,                0.68366,                 0.6816,                0.72207,                0.38056,                 1.5549,                 1.4034,                 2.0152,              0.0054036,              0.0054036,              0.0054036
                     67,                 1.3734,                  1.436,                 1.8206,                0.62943,                 0.6834,                0.71783,                0.37803,                 1.5597,                 1.4004,                 2.0094,              0.0053329,              0.0053329,              0.0053329
                     68,                 1.3689,                 1.4263,                 1.8182,                0.72177,                 0.6447,                0.71843,                 0.3766,                 1.5691,                 1.3865,                 2.0133,              0.0052621,              0.0052621,              0.0052621
